stop_id,stop_name
4-422,Comp. Funeraire
4-423,Félizots
4-424,Les Charmes
4-425,Monnet
4-426,Ratel
4-427,Belfontaine
4-429,Rue du Port
4-430,Romelet
4-431,Ecole des Métiers
4-432,Bertin
4-433,La Colombière
4-434,Trianon
4-435,Monnet
4-436,Les Charmes
4-437,Bourvil
4-438,Bourvil
4-439,Trianon
4-440,Camélias
4-441,Morvan
4-442,Glaieuls
4-443,Saint Martin
4-444,Chevigny ZI
4-445,Hoin
4-446,Bordot
4-447,ESPE
4-450,Morel Retz
4-451,Attiret
4-453,Ravel
4-454,La Colombière
4-455,Bertin
4-456,Ecole des Métiers
4-457,Romelet
4-458,Rue du Port
4-459,Belfontaine
4-460,Ratel
4-463,Petit Ouges
4-464,De Gaulle
4-465,Ouges Mairie
4-466,Tilleul
4-467,Tilleul
4-468,Ouges Mairie
4-469,De Gaulle
4-470,Petit Ouges
4-472,La Vigne
4-473,Les Jardins
4-474,Les Buttes
4-475,Bons Compagnons
4-476,Champ Prieur
4-477,Abbé Pierre
4-478,Jacquat
4-479,Gauthier
4-480,Les Buttes
4-481,Les Jardins
4-483,Gauthier
4-484,Epirey Cap Nord
4-486,Dallas CRI
4-487,Lycée Eiffel
4-488,Seguin
4-489,Pl. des Savoirs
4-490,Ste-Bernadette
4-491,Grésilles
4-497,Bourroches
4-498,Carraz
4-502,Croix des Valendons
4-503,Renan
4-504,Collège Chapitre
4-511,CHENÔVE C.Cial
4-514,Rue de Longvic
4-517,College Chapitre
4-518,Renan
4-519,Croix des Valendons
4-523,Carraz
4-530,Grésilles
4-531,Ste-Bernadette
4-532,Pl. des Savoirs
4-533,Seguin
4-534,Lycée Eiffel
4-535,Dallas CRI
4-539,Billardon
4-541,Billardon
4-547,Mayence
4-548,Mayence
4-549,Epirey Cap Nord
4-556,Mansart
4-557,Petites Roches
4-558,DArbaumont
4-560,DArbaumont
4-561,Petites Roches
4-562,Mansart
4-573,Quignard
4-579,Bouchet
4-580,Malines
4-586,Malines
4-587,Bouchet
4-593,Quignard
4-599,Hôpital
4-600,Faubourg Raines
4-601,Sainte Chantal
4-603,Diebold
4-604,Bourroches Eiffel
4-605,Rossignol Eiffel
4-606,Patte dOie
4-607,Calmette
4-608,Dadolle
4-618,Hortensias
4-619,IME Montagne Ste-Anne
4-621,Sembel
4-622,Favier
4-623,Bordet
4-625,Dadolle
4-626,Calmette
4-627,Patte dOie
4-628,Rossignol Eiffel
4-629,Bourroches Eiffel
4-630,Diebold
4-632,Ste-Chantal
4-633,Faubourg Raines
4-634,Hôpital
4-637,Clos Chauveau
4-638,Lycée Marcs dOr
4-639,Paupion
4-640,CFA - BTP
4-643,Saulx Tavannes
4-644,CFA - BTP
4-645,Paupion
4-646,Lycée Marcs dOr
4-647,Clos Chauveau
4-650,Rolin
4-653,Rolin
4-654,Patte dOie
4-655,Noblemaire
4-656,Echaillons
4-657,Delestraint
4-658,Montagne de Larrey
4-659,Cent Ecus
4-660,Noblemaire
4-661,Patte dOie
4-663,Roussottes
4-664,Roussottes
4-665,Churchill
4-666,Granville
4-668,Roosevelt
4-669,La Vapeur
4-670,Cité du Soleil
4-671,Quantin
4-672,Joffre
4-674,Theuriet
4-675,Giraud
4-676,Alsace
4-677,Reims
4-679,1er Mai Foyer
4-680,Lycée le Castel
4-681,Stéarinerie
4-684,Stéarinerie
4-685,Lycée le Castel
4-686,1er Mai Foyer
4-688,Marne
4-689,Reims
4-690,Alsace
4-691,Giraud
4-694,Joffre
4-695,Quantin
4-696,Cité du Soleil
4-697,La Vapeur
4-698,Roosevelt
4-700,Granville
4-701,Churchill
4-702,Pommard
4-719,Pommard
4-721,Petit Bernard
4-723,Theuriet
4-725,Petit Bernard
4-728,Ahuy
4-729,Les Plantes
4-730,Presles
4-731,Touzet du Vigier
4-732,Coteaux du Suzon
4-733,Lycée de Gaulle
4-739,Mazières
4-740,Houblonnière
4-741,Beaune
4-742,Barbe
