service_id,date,exception_type
22_7s7,20240209,2
22_Vendredi,20240209,2
22_Lune,20240209,2
22_MaàV,20240209,2
22_LAS,20240210,2
22_SDF,20240210,2
22_7s7,20240210,2
22_Samedi,20240210,2
22_MeS,20240210,2
22_LMJV,20240212,2
22_LAV,20240212,2
22_LAS,20240212,2
22_7s7,20240212,2
22_Lundi,20240212,2
22_LAJ,20240212,2
22_LMJV,20240213,2
22_LAV,20240213,2
22_LAS,20240213,2
22_7s7,20240213,2
22_Mardi,20240213,2
22_LAJ,20240213,2
22_MaàV,20240213,2
22_LAV,20240214,2
22_LAS,20240214,2
22_7s7,20240214,2
22_Mercredi,20240214,2
22_MeS,20240214,2
22_LAJ,20240214,2
22_MaàV,20240214,2
22_LMJV,20240215,2
22_LAV,20240215,2
22_LAS,20240215,2
22_7s7,20240215,2
22_Jeudi,20240215,2
22_Lune,20240215,2
22_LAJ,20240215,2
22_MaàV,20240215,2
22_LMJV,20240216,2
22_LAV,20240216,2
22_LAS,20240216,2
22_7s7,20240216,2
22_Vendredi,20240216,2
22_Lune,20240216,2
22_MaàV,20240216,2
22_LAS,20240217,2
22_SDF,20240217,2
22_7s7,20240217,2
22_Samedi,20240217,2
22_MeS,20240217,2
23_LMJV,20240126,2
23_LAV,20240126,2
23_LAS,20240126,2
23_7s7,20240126,2
23_Vendredi,20240126,2
23_Lune,20240126,2
23_MaàV,20240126,2
23_LAS,20240127,2
23_SDF,20240127,2
23_7s7,20240127,2
23_Samedi,20240127,2
23_MeS,20240127,2
23_SDF,20240128,2
23_7s7,20240128,2
23_Dimanche,20240128,2
23_LMJV,20240129,2
23_LAV,20240129,2
23_LAS,20240129,2
23_7s7,20240129,2
23_Lundi,20240129,2
23_LAJ,20240129,2
23_LAV,20240131,2
23_LAS,20240131,2
23_7s7,20240131,2
23_Mercredi,20240131,2
23_MeS,20240131,2
23_LAJ,20240131,2
23_MaàV,20240131,2
23_LMJV,20240202,2
23_LAV,20240202,2
23_LAS,20240202,2
23_7s7,20240202,2
23_Vendredi,20240202,2
23_Lune,20240202,2
23_MaàV,20240202,2
