trip_id,stop_id,direction_id,arrival_delay,arrival_time,departure_delay,departure_time
27-T2-1-B-002543,4-1509,1,22,1698621965,22,1698621965
27-T2-1-B-002543,4-1538,1,-11,1698622020,21,1698622052
27-T2-1-B-002543,4-1539,1,-1,1698622120,20,1698622141
27-T2-1-B-002543,4-1518,1,-10,1698622270,45,1698622325
27-T2-1-B-002543,4-1514,1,34,1698622365,59,1698622390
27-T2-1-B-002543,4-1498,1,22,1698622470,59,1698622507
27-T2-1-B-002543,4-1508,1,17,1698622580,45,1698622608
27-T2-1-B-002543,4-1505,1,3,1698622670,35,1698622702
27-T2-1-B-002543,4-1497,1,-3,1698622760,24,1698622787
27-T2-1-B-002543,4-1510,1,-35,1698622855,21,1698622911
27-T2-1-B-002543,4-1536,1,-3,1698622980,27,1698623010
27-T2-1-B-002543,4-1494,1,-1,1698623060,39,1698623100
27-T2-1-B-002543,4-1499,1,15,1698623145,65,1698623195
27-T2-1-B-002543,4-1537,1,30,1698623318,65,1698623353
27-T2-1-B-002543,4-1507,1,25,1698623398,73,1698623446
27-T2-1-B-002543,4-1504,1,48,1698623501,78,1698623531
27-T2-1-B-002543,4-1490,1,45,1698623586,90,1698623631
27-T2-1-B-002543,4-1502,1,63,1698623696,103,1698623736
27-T2-1-B-002543,4-1540,1,63,1698623796,92,1698623825
27-T2-1-B-002543,4-1496,1,59,1698623901,90,1698623932
27-T2-1-B-002543,4-1459,1,0,0,90,1698624029
27-T1-1-B-004500,4-1575,1,-147,1698622953,13,1698623113
27-T1-1-B-004500,4-1563,1,-32,1698623173,-8,1698623197
27-T1-1-B-004500,4-1565,1,-40,1698623267,-20,1698623287
27-T1-1-B-004500,4-1581,1,-56,1698623376,-43,1698623389
27-T1-1-B-004500,4-1572,1,-52,1698623465,-36,1698623481
27-T1-1-B-004500,4-1564,1,-66,1698623564,-41,1698623589
27-T1-1-B-004500,4-1569,1,-54,1698623691,-24,1698623721
27-T1-1-B-004500,4-1566,1,-39,1698623791,-1,1698623829
27-T1-1-B-004500,4-1573,1,-41,1698623899,-4,1698623936
27-T1-1-B-004500,4-1571,1,-54,1698624006,-10,1698624050
27-T1-1-B-004500,4-1574,1,-68,1698624086,-28,1698624126
27-T1-1-B-004500,4-1562,1,-77,1698624171,-42,1698624206
27-T1-1-B-004500,4-1576,1,-92,1698624264,-32,1698624324
27-T1-1-B-004500,4-1536,1,-54,1698624429,-19,1698624464
27-T1-1-B-004500,4-1494,1,-47,1698624514,-2,1698624559
27-T1-1-B-004500,4-1499,1,-57,1698624573,-57,1698624573
27-T2-2-B-004500,4-1509,1,41,1698623141,41,1698623141
27-T2-2-B-004500,4-1538,1,8,1698623196,31,1698623219
27-T2-2-B-004500,4-1539,1,4,1698623282,22,1698623300
27-T2-2-B-004500,4-1518,1,-17,1698623420,9,1698623446
27-T2-2-B-004500,4-1514,1,-13,1698623475,9,1698623497
27-T2-2-B-004500,4-1498,1,-30,1698623575,-6,1698623599
27-T2-2-B-004500,4-1508,1,-57,1698623663,-24,1698623696
27-T2-2-B-004500,4-1505,1,-66,1698623758,-36,1698623788
27-T2-2-B-004500,4-1497,1,-65,1698623855,-37,1698623883
27-T2-2-B-004500,4-1510,1,-97,1698623950,-53,1698623994
27-T2-2-B-004500,4-1536,1,-82,1698624058,-52,1698624088
27-T2-2-B-004500,4-1494,1,-85,1698624133,-50,1698624168
27-T2-2-B-004500,4-1499,1,-69,1698624218,-37,1698624250
27-T2-2-B-004500,4-1537,1,-75,1698624370,-37,1698624408
27-T2-2-B-004500,4-1507,1,-75,1698624455,-35,1698624495
27-T2-2-B-004500,4-1504,1,-55,1698624555,-30,1698624580
27-T2-2-B-004500,4-1490,1,-68,1698624630,-63,1698624635
27-FNI-1-B-010000,4-1642,0,73,1698624159,73,1698624159
27-FNI-1-B-010000,4-0,0,78,1698624313,78,1698624313
27-FNI-1-B-010000,4-101,0,78,1698624373,78,1698624373
27-FNI-1-B-010000,4-1321,0,78,1698624449,78,1698624449
27-FNI-1-B-010000,4-102,0,78,1698624579,78,1698624579
27-FNI-1-B-010000,4-1172,0,78,1698624624,78,1698624624
27-FNI-1-B-010000,4-1335,0,78,1698624674,78,1698624674
27-FNI-1-B-010000,4-113,0,79,1698624702,79,1698624702
27-FNI-1-B-010000,4-1058,0,79,1698624764,79,1698624764
27-FNI-1-B-010000,4-47,0,79,1698624933,79,1698624933
27-FNI-1-B-010000,4-1386,0,79,1698625002,79,1698625002
27-FNI-1-B-010000,4-1325,0,79,1698625099,79,1698625099
27-FNI-1-B-010000,4-1053,0,79,1698625153,79,1698625153
27-FNI-1-B-010000,4-10043,0,79,1698625373,79,1698625373
27-FNI-1-B-010000,4-10042,0,79,1698625416,79,1698625416
27-FNI-1-B-010000,4-1329,0,79,1698625457,79,1698625457
27-FNI-1-B-010000,4-1330,0,79,1698625490,79,1698625490
27-FNI-1-B-010000,4-1331,0,79,1698625538,79,1698625538
27-FNI-1-B-010000,4-1322,0,79,1698625579,79,1698625579
13-93-2-1-041600,4-10052,0,-339,1698637641,0,1698637980
13-93-1-1-034800,4-10051,0,0,1698634080,0,1698634080
13-93-1-1-034800,4-139,0,-507,1698634080,-507,1698634080
13-93-1-1-034800,4-541,0,-58,1698634982,67,1698635107
13-93-1-1-034800,4-493,0,52,1698635332,52,1698635332
13-93-1-1-034800,4-1248,0,52,1698635512,72,1698635532
13-93-1-1-034800,4-1230,0,72,1698635652,103,1698635683
13-93-1-1-034800,4-1442,0,92,1698635732,117,1698635757
13-93-1-1-034800,4-237,0,53,1698635873,90,1698635910
13-93-1-1-034800,4-10052,0,-17,1698636283,-17,1698636283
13-93-4-1-040500,4-10051,0,0,1698635100,0,1698635100
13-93-4-1-040500,4-955,0,-420,1698635100,-58,1698635462
13-93-4-1-040500,4-257,0,-33,1698635663,-33,1698635663
13-93-4-1-040500,4-258,0,-33,1698635708,-33,1698635708
13-93-4-1-040500,4-515,0,-33,1698635787,-17,1698635803
13-93-4-1-040500,4-1614,0,15,1698635895,15,1698635895
13-93-4-1-040500,4-1615,0,6,1698635938,6,1698635938
13-93-4-1-040500,4-261,0,-5,1698636013,-5,1698636013
13-93-4-1-040500,4-262,0,-30,1698636062,-30,1698636062
13-93-4-1-040500,4-263,0,-57,1698636112,-57,1698636112
13-93-4-1-040500,4-10017,0,-27,1698636238,-27,1698636238
13-93-4-1-040500,4-1262,0,-32,1698636337,-32,1698636337
13-93-4-1-040500,4-10052,0,-32,1698636388,-32,1698636388
13-93-2-1-041600,4-10051,0,168,1698635928,168,1698635928
13-93-2-1-041600,4-139,0,-339,1698635928,0,1698636267
13-93-2-1-041600,4-541,0,42,1698636762,67,1698636787
13-93-2-1-041600,4-493,0,67,1698637027,67,1698637027
13-93-2-1-041600,4-1248,0,67,1698637207,147,1698637287
13-93-2-1-041600,4-1230,0,146,1698637406,177,1698637437
13-93-2-1-041600,4-1442,0,192,1698637512,218,1698637538
13-93-2-1-041600,4-237,0,137,1698637637,148,1698637648
13-93-4-1-043100,4-10051,0,-272,1698636388,23,1698636683
13-93-4-1-043100,4-955,0,3,1698637083,3,1698637083
13-93-4-1-043100,4-257,0,-23,1698637233,2,1698637258
13-93-4-1-043100,4-258,0,-18,1698637283,2,1698637303
13-93-4-1-043100,4-515,0,3,1698637383,3,1698637383
13-93-4-1-043100,4-1614,0,3,1698637443,28,1698637468
13-93-4-1-043100,4-1615,0,16,1698637508,41,1698637533
13-93-4-1-043100,4-261,0,5,1698637583,30,1698637608
13-93-4-1-043100,4-262,0,-19,1698637633,-19,1698637633
13-93-4-1-043100,4-263,0,-46,1698637683,-21,1698637708
13-93-4-1-043100,4-10017,0,-21,1698637804,-21,1698637804
13-93-4-1-043100,4-1262,0,-71,1698637858,-46,1698637883
13-93-4-1-043100,4-10052,0,-97,1698637883,0,0
13-T2-1-1-042655,4-1457,0,-129,1698636286,21,1698636436
13-T2-1-1-042655,4-1471,0,-44,1698636506,6,1698636556
13-T2-1-1-042655,4-1474,0,-62,1698636606,-23,1698636645
13-T2-1-1-042655,4-1530,0,-57,1698636700,-8,1698636749
13-T2-1-1-042655,4-1467,0,-60,1698636870,-5,1698636925
13-T2-1-1-042655,4-1462,0,-33,1698636975,12,1698637020
13-T2-1-1-042655,4-1528,0,-16,1698637080,19,1698637115
13-T2-1-1-042655,4-1477,0,45,1698637190,95,1698637240
13-T2-1-1-042655,4-1465,0,47,1698637335,82,1698637370
13-T2-1-1-042655,4-1472,0,21,1698637445,59,1698637483
13-T2-1-1-042655,4-1475,0,-12,1698637575,27,1698637614
13-T2-1-1-042655,4-1466,0,-37,1698637700,8,1698637745
13-T2-1-1-042655,4-1484,0,-29,1698637830,8,1698637867
13-T2-1-1-042655,4-1487,0,-22,1698637910,8,1698637940
13-T2-1-1-042655,4-1532,0,-64,1698638080,-31,1698638113
13-T2-1-1-042655,4-1531,0,-73,1698638170,-40,1698638203
13-T2-1-1-042655,4-1668,0,-67,1698638250,-57,1698638260
13-T2-3-1-050549,4-1502,1,25,1698638774,25,1698638774
13-T2-3-1-050549,4-1540,1,-25,1698638839,3,1698638867
13-T2-3-1-050549,4-1496,1,-35,1698638949,-2,1698638982
13-T2-3-1-050549,4-1459,1,-55,1698639069,-55,1698639069
13-93-3-1-044100,4-10051,0,0,1698637260,0,1698637260
13-93-3-1-044100,4-139,0,-507,1698637260,-507,1698637260
13-93-3-1-044100,4-541,0,-22,1698638198,3,1698638223
13-93-3-1-044100,4-493,0,-12,1698638448,3,1698638463
13-93-3-1-044100,4-1248,0,3,1698638643,33,1698638673
13-93-3-1-044100,4-1230,0,-36,1698638724,23,1698638783
13-93-3-1-044100,4-1442,0,23,1698638843,44,1698638864
13-93-3-1-044100,4-237,0,-27,1698638973,12,1698639012
13-93-3-1-044100,4-10052,0,-32,1698639448,0,0
13-93-4-1-045600,4-10051,0,-127,1698638033,23,1698638183
13-93-4-1-045600,4-955,0,103,1698638683,103,1698638683
13-93-4-1-045600,4-257,0,52,1698638808,52,1698638808
13-93-4-1-045600,4-258,0,32,1698638833,52,1698638853
13-93-4-1-045600,4-515,0,52,1698638932,69,1698638949
13-93-4-1-045600,4-1614,0,84,1698639024,84,1698639024
13-93-4-1-045600,4-1615,0,66,1698639058,84,1698639076
13-93-4-1-045600,4-261,0,80,1698639158,80,1698639158
13-93-4-1-045600,4-262,0,31,1698639183,56,1698639208
13-93-4-1-045600,4-263,0,4,1698639233,4,1698639233
13-93-4-1-045600,4-10017,0,-17,1698639308,4,1698639329
13-93-4-1-045600,4-1262,0,-46,1698639383,-46,1698639383
13-93-4-1-045600,4-10052,0,-72,1698639408,-72,1698639408
13-T1-1-1-045144,4-1467,0,-91,1698637813,-11,1698637893
13-T1-1-1-045144,4-1462,0,-40,1698637943,5,1698637988
13-T1-1-1-045144,4-1528,0,-11,1698638058,14,1698638083
13-T1-1-1-045144,4-1560,0,-27,1698638193,14,1698638234
13-T1-1-1-045144,4-1542,0,-2,1698638308,33,1698638343
13-T1-1-1-045144,4-1558,0,12,1698638398,52,1698638438
13-T1-1-1-045144,4-1555,0,17,1698638488,52,1698638523
13-T1-1-1-045144,4-1557,0,10,1698638628,55,1698638673
13-T1-1-1-045144,4-1546,0,-12,1698638733,23,1698638768
13-T1-1-1-045144,4-1550,0,-17,1698638843,22,1698638882
13-T1-1-1-045144,4-1544,0,-19,1698638973,26,1698639018
13-T1-1-1-045144,4-1556,0,12,1698639108,52,1698639148
13-T1-1-1-045144,4-1580,0,21,1698639223,52,1698639254
13-T1-1-1-045144,4-1545,0,-27,1698639368,9,1698639404
13-T1-1-1-045144,4-1543,0,-53,1698639483,-13,1698639523
13-T1-1-1-045144,4-1559,0,-99,1698639578,-89,1698639588
13-T2-2-1-045432,4-1457,0,-76,1698637996,24,1698638096
13-T2-2-1-045432,4-1471,0,-14,1698638146,31,1698638191
13-T2-2-1-045432,4-1474,0,0,1698638241,40,1698638281
13-T2-2-1-045432,4-1530,0,1,1698638331,61,1698638391
13-T2-2-1-045432,4-1467,0,25,1698638506,65,1698638546
13-T2-2-1-045432,4-1462,0,36,1698638596,66,1698638626
13-T2-2-1-045432,4-1528,0,30,1698638676,75,1698638721
13-T2-2-1-045432,4-1477,0,32,1698638786,97,1698638851
13-T2-2-1-045432,4-1465,0,60,1698638921,95,1698638956
13-T2-2-1-045432,4-1472,0,45,1698639011,88,1698639054
13-T2-2-1-045432,4-1475,0,30,1698639116,66,1698639152
13-T2-2-1-045432,4-1466,0,44,1698639221,79,1698639256
13-T2-2-1-045432,4-1484,0,35,1698639336,65,1698639366
13-T2-2-1-045432,4-1487,0,30,1698639406,63,1698639439
13-T2-2-1-045432,4-1532,0,30,1698639556,61,1698639587
13-T2-2-1-045432,4-1531,0,25,1698639641,59,1698639675
13-T2-2-1-045432,4-1668,0,0,0,56,1698639743
13-L9-1-1-045900,4-1078,1,-294,1698638046,12,1698638352
13-L9-1-1-045900,4-544,1,12,1698638473,22,1698638483
13-L9-1-1-045900,4-545,1,22,1698638547,22,1698638547
13-L9-1-1-045900,4-763,1,11,1698638627,22,1698638638
13-L9-1-1-045900,4-764,1,22,1698638699,22,1698638699
13-L9-1-1-045900,4-10001,1,17,1698638777,22,1698638782
13-L9-1-1-045900,4-1344,1,22,1698638804,31,1698638813
13-L9-1-1-045900,4-782,1,31,1698638832,39,1698638840
13-L9-1-1-045900,4-459,1,39,1698638871,54,1698638886
13-L9-1-1-045900,4-460,1,54,1698638909,79,1698638934
13-L9-1-1-045900,4-435,1,97,1698638977,97,1698638977
13-L9-1-1-045900,4-436,1,97,1698639017,97,1698639017
13-L9-1-1-045900,4-437,1,80,1698639077,80,1698639077
13-L9-1-1-045900,4-438,1,56,1698639102,80,1698639126
13-L9-1-1-045900,4-439,1,52,1698639127,52,1698639127
13-L9-1-1-045900,4-1347,1,38,1698639202,38,1698639202
13-L9-1-1-045900,4-445,1,37,1698639277,37,1698639277
13-L9-1-1-045900,4-320,1,-7,1698639302,18,1698639327
13-L9-1-1-045900,4-321,1,-12,1698639377,-12,1698639377
