trip_id,stop_id,direction_id,arrival_delay,arrival_time,departure_delay,departure_time
10-L3-1-1-141100,4-357,1,-13,1698322344,9,1698322366
10-L3-1-1-141100,4-405,1,-24,1698322394,9,1698322427
10-L3-1-1-141100,4-348,1,-21,1698322491,1,1698322513
10-L3-1-1-141100,4-977,1,-16,1698322544,9,1698322569
10-L3-1-1-141100,4-395,1,8,1698322619,58,1698322669
10-L3-1-1-141100,4-351,1,58,1698322718,66,1698322726
10-L3-1-1-141100,4-352,1,61,1698322769,86,1698322794
10-L3-1-1-141100,4-353,1,129,1698322944,129,1698322944
10-L3-1-1-141100,4-355,1,124,1698323044,249,1698323169
10-L3-1-1-141100,4-1443,1,204,1698323244,235,1698323275
10-L3-1-1-141100,4-1600,1,134,1698323294,202,1698323362
10-L3-1-1-141100,4-1373,1,114,1698323492,114,1698323492
10-L3-1-1-141100,4-1606,1,64,1698323644,85,1698323665
10-L3-1-1-141100,4-1607,1,71,1698323756,85,1698323770
10-L3-1-1-141100,4-1216,1,74,1698323834,85,1698323845
10-L3-1-1-141100,4-21,1,64,1698323869,89,1698323894
10-L3-1-1-141100,4-86,1,64,1698323944,72,1698323952
10-L3-1-1-141100,4-87,1,57,1698323994,57,1698323994
10-L3-1-1-141100,4-88,1,5,1698323994,55,1698324044
10-L3-1-1-141100,4-89,1,-4,1698324044,21,1698324069
10-L3-1-1-141100,4-881,1,-15,1698324094,-15,1698324094
10-L3-1-1-141100,4-903,1,-37,1698324119,-12,1698324144
10-L3-1-1-141100,4-1608,1,-21,1698324219,-12,1698324228
10-L3-1-1-141100,4-1609,1,-44,1698324269,-44,1698324269
10-L3-1-1-141100,4-533,1,-89,1698324519,-64,1698324544
10-L3-1-1-141100,4-534,1,-91,1698324569,-91,1698324569
10-L3-1-1-141100,4-535,1,-128,1698324619,-103,1698324644
10-L3-1-1-141100,4-548,1,-150,1698324719,-125,1698324744
10-L3-1-1-141100,4-549,1,-186,1698324769,-161,1698324794
10-L3-1-1-141100,4-484,1,-201,1698324819,-201,1698324819
10-L3-1-1-150700,4-484,0,-801,1698324819,0,1698325620
10-L5-8-1-142000,4-10025,0,-403,1698322397,47,1698322847
