trip_id,stop_id,direction_id,arrival_delay,arrival_time,departure_delay,departure_time
22-L3-1-1-050500,4-484,0,0,0,0,1697771100
22-L3-1-1-054700,4-356,1,0,0,0,1697773620
22-L3-1-1-063200,4-484,0,0,0,0,1697776320
22-L3-1-1-071700,4-356,1,0,0,0,1697779020
22-L3-1-1-081300,4-484,0,0,0,0,1697782380
22-L3-1-1-091200,4-356,1,0,0,0,1697785920
22-L3-1-1-100900,4-484,0,0,0,0,1697789340
22-L3-1-1-105800,4-356,1,0,0,0,1697792280
22-L3-1-1-115300,4-484,0,0,0,0,1697795580
22-L3-1-1-124600,4-356,1,0,0,0,1697798760
22-L3-1-1-134300,4-484,0,0,0,0,1697802180
22-L3-1-1-143600,4-356,1,0,0,0,1697805360
22-L3-1-1-153200,4-484,0,0,0,0,1697808720
22-L3-1-1-162400,4-356,1,0,0,0,1697811840
22-L3-2-1-051200,4-356,1,0,0,0,1697771520
22-L3-2-1-060000,4-484,0,0,0,0,1697774400
22-L3-2-1-064500,4-356,1,0,0,0,1697777100
22-L3-2-1-073500,4-484,0,0,0,0,1697780100
22-L3-2-1-082900,4-356,1,0,0,0,1697783340
22-L3-2-1-093000,4-484,0,0,0,0,1697787000
22-L3-2-1-101800,4-356,1,0,0,0,1697789880
22-L3-2-1-111300,4-484,0,0,0,0,1697793180
22-L3-2-1-120300,4-356,1,0,0,0,1697796180
22-L3-2-1-130000,4-484,0,0,0,0,1697799600
22-L3-2-1-135400,4-356,1,0,0,0,1697802840
22-L3-2-1-145100,4-484,0,0,0,0,1697806260
22-L3-2-1-154300,4-356,1,0,0,0,1697809380
22-L3-3-1-053300,4-484,0,0,0,0,1697772780
22-L3-3-1-061700,4-356,1,0,0,0,1697775420
22-L3-3-1-070500,4-484,0,0,0,0,1697778300
22-L3-3-1-075600,4-356,1,0,0,0,1697781360
22-L3-3-1-085600,4-484,0,0,0,0,1697784960
22-L3-3-1-094600,4-356,1,0,0,0,1697787960
22-L3-3-1-104200,4-484,0,0,0,0,1697791320
22-L3-3-1-113000,4-356,1,0,0,0,1697794200
22-L3-3-1-122600,4-484,0,0,0,0,1697797560
22-L3-3-1-132000,4-356,1,0,0,0,1697800800
22-L3-3-1-141900,4-484,0,0,0,0,1697804340
22-L3-3-1-151100,4-356,1,0,0,0,1697807460
22-L3-3-1-160800,4-484,0,0,0,0,1697810880
22-L3-4-1-061600,4-484,0,0,0,0,1697775360
22-L3-4-1-070100,4-356,1,0,0,0,1697778060
22-L3-4-1-075800,4-484,0,0,0,0,1697781480
22-L3-4-1-085400,4-356,1,0,0,0,1697784840
22-L3-4-1-095400,4-484,0,0,0,0,1697788440
22-L3-4-1-104200,4-356,1,0,0,0,1697791320
22-L3-4-1-113700,4-484,0,0,0,0,1697794620
22-L3-4-1-123000,4-356,1,0,0,0,1697797800
22-L3-4-1-132500,4-484,0,0,0,0,1697801100
22-L3-4-1-141900,4-356,1,0,0,0,1697804340
22-L3-4-1-151500,4-484,0,0,0,0,1697807700
22-L3-4-1-160700,4-356,1,0,0,0,1697810820
22-L3-5-1-063300,4-356,1,0,0,0,1697776380
22-L3-5-1-071800,4-484,0,0,0,0,1697779080
22-L3-5-1-081200,4-356,1,0,0,0,1697782320
22-L3-5-1-091300,4-484,0,0,0,0,1697785980
22-L3-5-1-100200,4-356,1,0,0,0,1697788920
22-L3-5-1-105700,4-484,0,0,0,0,1697792220
22-L3-5-1-114500,4-356,1,0,0,0,1697795100
22-L3-5-1-124300,4-484,0,0,0,0,1697798580
22-L3-5-1-133600,4-356,1,0,0,0,1697801760
22-L3-5-1-143500,4-484,0,0,0,0,1697805300
22-L3-5-1-152700,4-356,1,0,0,0,1697808420
22-L3-5-1-162500,4-484,0,0,0,0,1697811900
22-L3-6-1-064600,4-484,0,0,0,0,1697777160
22-L3-6-1-073200,4-356,1,-480,1697779440,0,1697779920
22-L3-6-1-073200,4-357,1,0,1697780036,0,1697780036
22-L3-6-1-073200,4-405,1,0,1697780109,0,1697780109
22-L3-6-1-073200,4-348,1,0,1697780223,0,1697780223
22-L3-6-1-073200,4-977,1,0,1697780280,0,1697780280
22-L3-6-1-073200,4-395,1,0,1697780339,0,1697780339
22-L3-6-1-073200,4-351,1,0,1697780397,0,1697780397
22-L3-6-1-073200,4-352,1,0,1697780453,0,1697780453
22-L3-6-1-073200,4-353,1,0,1697780577,0,1697780577
22-L3-6-1-073200,4-355,1,0,1697780700,0,1697780700
22-L3-6-1-073200,4-1443,1,0,1697780820,0,1697780820
22-L3-6-1-073200,4-1600,1,0,1697780880,0,1697780880
22-L3-6-1-073200,4-1373,1,0,1697781129,0,1697781129
22-L3-6-1-073200,4-1606,1,0,1697781360,0,1697781360
22-L3-6-1-073200,4-1607,1,0,1697781500,0,1697781500
22-L3-6-1-073200,4-1216,1,0,1697781600,0,1697781600
22-L3-6-1-073200,4-21,1,0,1697781667,0,1697781667
22-L3-6-1-073200,4-86,1,0,1697781780,0,1697781780
22-L3-6-1-073200,4-87,1,0,1697781846,0,1697781846
22-L3-6-1-073200,4-88,1,0,1697781907,0,1697781907
22-L3-6-1-073200,4-89,1,0,1697781976,0,1697781976
22-L3-6-1-073200,4-881,1,0,1697782047,0,1697782047
22-L3-6-1-073200,4-903,1,0,1697782102,0,1697782102
22-L3-6-1-073200,4-1608,1,0,1697782200,0,1697782200
22-L3-6-1-073200,4-1609,1,0,1697782273,0,1697782273
22-L3-6-1-073200,4-530,1,0,1697782380,0,1697782380
22-L3-6-1-073200,4-531,1,0,1697782447,0,1697782447
22-L3-6-1-073200,4-532,1,0,1697782495,0,1697782495
22-L3-6-1-073200,4-533,1,0,1697782568,0,1697782568
22-L3-6-1-073200,4-534,1,0,1697782620,0,1697782620
22-L3-6-1-073200,4-535,1,0,1697782707,0,1697782707
22-L3-6-1-073200,4-548,1,0,1697782829,0,1697782829
22-L3-6-1-073200,4-549,1,0,1697782915,0,1697782915
22-L3-6-1-073200,4-484,1,0,1697782980,0,1697782980
22-L3-6-1-082900,4-484,0,-360,1697782980,0,1697783340
22-L3-6-1-082900,4-547,0,0,1697783400,0,1697783400
22-L3-6-1-082900,4-486,0,0,1697783580,0,1697783580
22-L3-6-1-082900,4-487,0,0,1697783640,0,1697783640
22-L3-6-1-082900,4-488,0,0,1697783694,0,1697783694
22-L3-6-1-082900,4-489,0,0,1697783766,0,1697783766
22-L3-6-1-082900,4-490,0,0,1697783816,0,1697783816
22-L3-6-1-082900,4-491,0,0,1697783880,0,1697783880
22-L3-6-1-082900,4-1601,0,0,1697784002,0,1697784002
22-L3-6-1-082900,4-1602,0,0,1697784060,0,1697784060
22-L3-6-1-082900,4-865,0,0,1697784172,0,1697784172
22-L3-6-1-082900,4-1212,0,0,1697784205,0,1697784205
22-L3-6-1-082900,4-17,0,0,1697784249,0,1697784249
22-L3-6-1-082900,4-18,0,0,1697784297,0,1697784297
22-L3-6-1-082900,4-19,0,0,1697784393,0,1697784393
22-L3-6-1-082900,4-20,0,0,1697784462,0,1697784462
22-L3-6-1-082900,4-1603,0,0,1697784544,0,1697784544
22-L3-6-1-082900,4-1219,0,0,1697784600,0,1697784600
22-L3-6-1-082900,4-1604,0,0,1697784736,0,1697784736
22-L3-6-1-082900,4-1605,0,0,1697784900,0,1697784900
22-L3-6-1-082900,4-1288,0,0,1697785055,0,1697785055
22-L3-6-1-082900,4-1230,0,0,1697785200,0,1697785200
22-L3-6-1-082900,4-1442,0,0,1697785320,0,1697785320
22-L3-6-1-082900,4-396,0,0,1697785381,0,1697785381
22-L3-6-1-082900,4-397,0,0,1697785477,0,1697785477
22-L3-6-1-082900,4-398,0,0,1697785603,0,1697785603
22-L3-6-1-082900,4-399,0,0,1697785647,0,1697785647
22-L3-6-1-082900,4-394,0,0,1697785711,0,1697785711
22-L3-6-1-082900,4-1339,0,0,1697785740,0,1697785740
22-L3-6-1-082900,4-402,0,0,1697785806,0,1697785806
22-L3-6-1-082900,4-345,0,0,1697785891,0,1697785891
22-L3-6-1-082900,4-364,0,0,1697785954,0,1697785954
22-L3-6-1-082900,4-356,0,0,1697786100,0,1697786100
22-L3-6-1-092100,4-356,1,-360,1697786100,0,1697786460
22-L3-6-1-092100,4-357,1,0,1697786576,0,1697786576
22-L3-6-1-092100,4-405,1,0,1697786649,0,1697786649
22-L3-6-1-092100,4-348,1,0,1697786763,0,1697786763
22-L3-6-1-092100,4-977,1,0,1697786820,0,1697786820
22-L3-6-1-092100,4-395,1,0,1697786879,0,1697786879
22-L3-6-1-092100,4-351,1,0,1697786937,0,1697786937
22-L3-6-1-092100,4-352,1,0,1697786993,0,1697786993
22-L3-6-1-092100,4-353,1,0,1697787117,0,1697787117
22-L3-6-1-092100,4-355,1,0,1697787240,0,1697787240
22-L3-6-1-092100,4-1443,1,0,1697787360,0,1697787360
22-L3-6-1-092100,4-1600,1,0,1697787480,0,1697787480
22-L3-6-1-092100,4-1373,1,0,1697787667,0,1697787667
22-L3-6-1-092100,4-1606,1,0,1697787840,0,1697787840
22-L3-6-1-092100,4-1607,1,0,1697787945,0,1697787945
22-L3-6-1-092100,4-1216,1,0,1697788020,0,1697788020
22-L3-6-1-092100,4-21,1,0,1697788065,0,1697788065
