trip_id,stop_id,direction_id,arrival_delay,arrival_time,departure_delay,departure_time
23-L6-4-1-130600,4-672,1,29,1697714000,54,1697714025
23-L6-4-1-130600,4-723,1,35,1697714075,60,1697714100
23-L6-4-1-130600,4-675,1,50,1697714150,60,1697714160
23-L6-4-1-130600,4-676,1,60,1697714225,60,1697714225
23-L6-4-1-130600,4-677,1,39,1697714250,39,1697714250
23-L6-4-1-130600,4-1586,1,20,1697714300,39,1697714319
23-L6-4-1-130600,4-1627,1,-33,1697714375,17,1697714425
23-L6-4-1-130600,4-1606,1,-90,1697714550,60,1697714700
23-L6-4-1-130600,4-1607,1,43,1697714823,68,1697714848
23-L6-4-1-130600,4-1216,1,18,1697714898,47,1697714927
23-L6-4-1-130600,4-21,1,35,1697714973,135,1697715073
23-L6-4-1-130600,4-22,1,149,1697715198,174,1697715223
23-L6-4-1-130600,4-23,1,153,1697715273,178,1697715298
23-L6-4-1-130600,4-180,1,193,1697715373,218,1697715398
23-L6-4-1-130600,4-181,1,218,1697715446,220,1697715448
23-L6-4-1-130600,4-10069,1,248,1697715548,273,1697715573
23-L6-4-1-130600,4-183,1,258,1697715648,273,1697715663
23-L6-4-1-130600,4-184,1,238,1697715698,263,1697715723
23-L6-4-1-130600,4-185,1,217,1697715748,240,1697715771
23-L6-4-1-130600,4-186,1,217,1697715798,240,1697715821
23-L6-4-1-130600,4-187,1,188,1697715848,215,1697715875
23-L6-4-1-130600,4-189,1,193,1697715948,215,1697715970
23-L6-4-1-130600,4-190,1,183,1697715973,215,1697716005
23-L6-4-1-130600,4-10033,1,211,1697716048,215,1697716052
23-L6-4-1-130600,4-1196,1,197,1697716098,222,1697716123
23-L6-4-1-130600,4-192,1,213,1697716173,222,1697716182
23-L6-4-1-130600,4-10032,1,203,1697716198,228,1697716223
23-L6-4-1-130600,4-195,1,234,1697716273,234,1697716273
23-L6-4-1-130600,4-196,1,234,1697716314,237,1697716317
23-L6-4-1-130600,4-1405,1,218,1697716373,218,1697716373
23-L6-4-1-130600,4-125,1,204,1697716464,204,1697716464
23-45-11-1-135000,4-10017,1,11,1697716211,11,1697716211
23-45-11-1-135000,4-1262,1,133,1697716411,133,1697716411
23-45-11-1-135000,4-10000,1,133,1697716453,133,1697716453
23-T2-7-1-133134,4-1464,0,-10,1697715204,30,1697715244
23-T2-7-1-133134,4-1533,0,-15,1697715319,25,1697715359
23-T2-7-1-133134,4-1469,0,-30,1697715414,25,1697715469
23-T2-7-1-133134,4-1457,0,-22,1697715519,20,1697715561
23-T2-7-1-133134,4-1471,0,-20,1697715609,25,1697715654
23-T2-7-1-133134,4-1474,0,-15,1697715704,45,1697715764
23-T2-7-1-133134,4-1530,0,1,1697715819,86,1697715904
23-T2-7-1-133134,4-1467,0,8,1697716004,55,1697716051
23-T2-7-1-133134,4-1462,0,-4,1697716089,48,1697716141
23-T2-7-1-133134,4-1528,0,4,1697716194,48,1697716238
23-T2-7-1-133134,4-1477,0,-14,1697716299,56,1697716369
23-T2-7-1-133134,4-1465,0,6,1697716439,11,1697716444
23-T2-7-1-133134,4-1472,0,49,1697716587,49,1697716587
23-T2-7-1-133134,4-1475,0,49,1697716707,49,1697716707
23-T2-7-1-133134,4-1466,0,11,1697716778,11,1697716778
23-T2-7-1-133134,4-1484,0,52,1697716943,52,1697716943
23-T2-7-1-133134,4-1487,0,43,1697717009,43,1697717009
23-T2-7-1-133134,4-1532,0,21,1697717137,21,1697717137
23-T2-7-1-133134,4-1531,0,43,1697717249,43,1697717249
23-T2-7-1-133134,4-1668,0,25,1697717302,25,1697717302
23-T2-7-1-141755,4-1509,1,-418,1697717457,0,1697717875
23-T2-7-1-141755,4-1538,1,0,1697717963,0,1697717963
23-T2-7-1-141755,4-1539,1,0,1697718053,0,1697718053
23-T2-7-1-141755,4-1518,1,0,1697718207,0,1697718207
23-T2-7-1-141755,4-1514,1,0,1697718269,0,1697718269
23-T2-7-1-141755,4-1498,1,0,1697718391,0,1697718391
23-T2-7-1-141755,4-1508,1,0,1697718501,0,1697718501
23-T2-7-1-141755,4-1505,1,0,1697718611,0,1697718611
23-T2-7-1-141755,4-1497,1,0,1697718718,0,1697718718
23-T2-7-1-141755,4-1510,1,0,1697718858,0,1697718858
23-T2-7-1-141755,4-1536,1,0,1697718989,0,1697718989
23-T2-7-1-141755,4-1494,1,0,1697719089,0,1697719089
23-T2-7-1-141755,4-1499,1,0,1697719164,0,1697719164
23-T2-7-1-141755,4-1537,1,0,1697719357,0,1697719357
23-T2-7-1-141755,4-1507,1,0,1697719457,0,1697719457
23-T2-7-1-141755,4-1504,1,0,1697719552,0,1697719552
23-T2-7-1-141755,4-1490,1,0,1697719664,0,1697719664
23-T2-7-1-141755,4-1502,1,0,1697719749,0,1697719749
23-T2-7-1-141755,4-1540,1,0,1697719864,0,1697719864
23-T2-7-1-141755,4-1496,1,0,1697719984,0,1697719984
23-T2-7-1-141755,4-1459,1,0,1697720124,0,1697720124
23-T2-8-1-132404,4-1459,0,-369,1697714275,15,1697714659
23-T2-8-1-132404,4-1464,0,-30,1697714734,8,1697714772
23-T2-8-1-132404,4-1533,0,-37,1697714847,2,1697714886
23-T2-8-1-132404,4-1469,0,-47,1697714947,24,1697715018
23-T2-8-1-132404,4-1457,0,-14,1697715077,24,1697715115
23-T2-8-1-132404,4-1471,0,-12,1697715167,28,1697715207
23-T2-8-1-132404,4-1474,0,-12,1697715257,27,1697715296
23-T2-8-1-132404,4-1530,0,-23,1697715345,27,1697715395
23-T2-8-1-132404,4-1467,0,-39,1697715507,17,1697715563
23-T2-8-1-132404,4-1462,0,-46,1697715597,17,1697715660
23-T2-8-1-132404,4-1528,0,-33,1697715707,17,1697715757
23-T2-8-1-132404,4-1477,0,-41,1697715822,35,1697715898
23-T2-8-1-132404,4-1465,0,-11,1697715972,35,1697716018
23-T2-8-1-132404,4-1472,0,-6,1697716082,35,1697716123
23-T2-8-1-132404,4-1475,0,-16,1697716192,32,1697716240
23-T2-8-1-132404,4-1466,0,-10,1697716307,30,1697716347
23-T2-8-1-132404,4-1484,0,-24,1697716417,-19,1697716422
23-T2-8-1-132404,4-1487,0,7,1697716523,7,1697716523
23-T2-8-1-132404,4-1532,0,-7,1697716659,-7,1697716659
23-T2-8-1-132404,4-1531,0,7,1697716763,7,1697716763
23-T2-8-1-132404,4-1668,0,11,1697716838,11,1697716838
23-T2-8-1-141045,4-1509,1,-418,1697717027,0,1697717445
23-T2-8-1-141045,4-1538,1,0,1697717533,0,1697717533
23-T2-8-1-141045,4-1539,1,0,1697717623,0,1697717623
23-T2-8-1-141045,4-1518,1,0,1697717777,0,1697717777
23-T2-8-1-141045,4-1514,1,0,1697717839,0,1697717839
23-T2-8-1-141045,4-1498,1,0,1697717961,0,1697717961
23-T2-8-1-141045,4-1508,1,0,1697718071,0,1697718071
23-T2-8-1-141045,4-1505,1,0,1697718181,0,1697718181
23-T2-8-1-141045,4-1497,1,0,1697718288,0,1697718288
23-T2-8-1-141045,4-1510,1,0,1697718428,0,1697718428
23-T2-8-1-141045,4-1536,1,0,1697718559,0,1697718559
23-T2-8-1-141045,4-1494,1,0,1697718659,0,1697718659
23-T2-8-1-141045,4-1499,1,0,1697718734,0,1697718734
23-T2-8-1-141045,4-1537,1,0,1697718927,0,1697718927
23-T2-8-1-141045,4-1507,1,0,1697719027,0,1697719027
23-T2-8-1-141045,4-1504,1,0,1697719122,0,1697719122
23-T2-8-1-141045,4-1490,1,0,1697719234,0,1697719234
23-T2-8-1-141045,4-1502,1,0,1697719319,0,1697719319
23-T2-8-1-141045,4-1540,1,0,1697719434,0,1697719434
23-T2-8-1-141045,4-1496,1,0,1697719554,0,1697719554
23-T2-8-1-141045,4-1459,1,0,1697719694,0,1697719694
23-T2-10-1-134630,4-1459,0,-345,1697715645,41,1697716031
